,topic_1980,topic_1990,topic_2000,topic_2010
0,0.18315018315018314,0.12586298459904408,0.10297418630751964,0.1036969211399794
1,0.07326007326007326,0.09293680297397769,0.06397306397306397,0.04280645530502461
2,0.05128205128205128,0.0685077004779607,0.058361391694725026,0.0859562778985922
3,0.07326007326007326,0.1051513542219862,0.12906846240179573,0.08217923772461944
4,0.08058608058608059,0.11471056824216676,0.09231200897867564,0.03674029987409866
5,0.014652014652014652,0.0525756771109931,0.08866442199775533,0.1473045667849376
6,0.05128205128205128,0.016463090812533193,0.020202020202020204,0.032505436648735266
7,0.1575091575091575,0.15188528943175783,0.11054994388327721,0.14261188050818357
8,0.1794871794871795,0.16675517790759425,0.1728395061728395,0.10163671740872153
9,0.13553113553113552,0.1051513542219862,0.1610549943883277,0.2245622067071077
